epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.44299,1.92704,3.56367,1.22224,0.01222,0.18033,0.05161,0.03503,1.46146,3.26755,1.32859,0,0,0
2,1.98875,1.7873,3.42144,1.39057,0.01333,0.19672,0.04627,0.03147,1.45466,3.27056,1.32408,1.9802e-05,1.9802e-05,1.9802e-05
3,2.39668,1.77825,3.46739,1.27964,0.01222,0.18033,0.04767,0.03831,1.45318,3.26936,1.31849,3.9208e-05,3.9208e-05,3.9208e-05
4,2.82311,1.70262,3.45954,1.2695,0.01556,0.22951,0.04147,0.03463,1.41022,3.24634,1.29577,5.8218e-05,5.8218e-05,5.8218e-05
5,3.25519,1.63124,3.40855,1.22275,0.01444,0.21311,0.04938,0.04182,1.39325,3.22676,1.27691,7.6832e-05,7.6832e-05,7.6832e-05
6,3.7418,1.72149,3.39051,1.24809,0.01778,0.2623,0.06323,0.05289,1.39222,3.21441,1.26751,9.505e-05,9.505e-05,9.505e-05
7,4.21181,1.61041,3.27931,1.16084,0.02,0.29508,0.06642,0.05605,1.39746,3.21931,1.27006,0.000112872,0.000112872,0.000112872
8,4.68971,1.38151,3.23978,1.11744,0.02222,0.32787,0.07146,0.05379,1.41547,3.20356,1.26869,0.000130298,0.000130298,0.000130298
9,5.11818,1.41327,3.13981,1.11705,0.02556,0.37705,0.09003,0.06661,1.39889,3.18892,1.2356,0.000147328,0.000147328,0.000147328
10,5.5929,1.42211,2.95311,1.12764,0.03222,0.47541,0.10354,0.07453,1.32596,3.12597,1.1835,0.000163962,0.000163962,0.000163962
11,6.06754,1.55012,2.85199,1.08978,0.03333,0.4918,0.10561,0.07536,1.349,3.1008,1.1798,0.0001802,0.0001802,0.0001802
12,6.54731,1.39401,2.62307,1.07629,0.03556,0.52459,0.1155,0.08137,1.34852,3.08111,1.18334,0.000196042,0.000196042,0.000196042
13,7.01097,1.37814,2.30619,1.02092,0.03556,0.52459,0.12177,0.08699,1.32861,3.06242,1.15563,0.000211488,0.000211488,0.000211488
14,7.4739,1.48786,2.11649,1.08551,0.03778,0.55738,0.13218,0.09449,1.27448,3.03499,1.12262,0.000226538,0.000226538,0.000226538
15,7.94077,1.42528,2.03031,1.09481,0.04111,0.60656,0.14309,0.10413,1.28091,2.99061,1.13695,0.000241192,0.000241192,0.000241192
16,8.43036,1.46956,1.78947,1.12781,0.04111,0.60656,0.17299,0.13231,1.26164,2.93833,1.11797,0.00025545,0.00025545,0.00025545
17,8.93199,1.4635,1.65841,1.09583,0.04222,0.62295,0.27156,0.18913,1.26841,2.88041,1.11406,0.000269312,0.000269312,0.000269312
18,9.48688,1.39626,1.79057,1.09824,0.04222,0.62295,0.27156,0.18913,1.26841,2.88041,1.11406,0.000282778,0.000282778,0.000282778
19,10.0197,1.43198,1.70378,1.06283,0.04667,0.68852,0.33556,0.19994,1.3117,2.80076,1.10941,0.000295848,0.000295848,0.000295848
20,10.5049,1.43725,1.50012,1.07076,0.04667,0.68852,0.33556,0.19994,1.3117,2.80076,1.10941,0.000308522,0.000308522,0.000308522
21,11.0134,1.22942,1.47877,1.01557,0.04667,0.68852,0.35765,0.196,1.33156,2.74267,1.11944,0.0003208,0.0003208,0.0003208
22,11.4391,1.39012,1.46837,1.05096,0.04667,0.68852,0.35765,0.196,1.33156,2.74267,1.11944,0.000332682,0.000332682,0.000332682
23,11.8783,1.34566,1.44085,1.02081,0.05333,0.78689,0.32998,0.17095,1.34403,2.69754,1.12755,0.000344168,0.000344168,0.000344168
24,12.3179,1.24179,1.38582,1.02232,0.05333,0.78689,0.32998,0.17095,1.34403,2.69754,1.12755,0.000355258,0.000355258,0.000355258
25,12.8128,1.43406,1.57617,1.0285,0.05444,0.80328,0.299,0.16302,1.38831,2.66363,1.15694,0.000365952,0.000365952,0.000365952
26,13.2988,1.20426,1.39194,1.02611,0.05444,0.80328,0.299,0.16302,1.38831,2.66363,1.15694,0.00037625,0.00037625,0.00037625
27,13.7974,1.31382,1.39694,1.03756,0.05667,0.83607,0.28442,0.15319,1.40351,2.61374,1.15415,0.000386152,0.000386152,0.000386152
28,14.2341,1.30501,1.37457,1.00639,0.05667,0.83607,0.28442,0.15319,1.40351,2.61374,1.15415,0.000395658,0.000395658,0.000395658
