epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.967066,2.09354,2.22546,1.37789,0.62066,0.68852,0.65247,0.4056,1.0639,1.00828,1.03887,0,0,0
2,1.82901,1.52855,2.04299,1.23135,0.61124,0.69598,0.65425,0.40945,1.05808,1.002,1.03521,1.9802e-05,1.9802e-05,1.9802e-05
3,2.7217,1.71437,1.66373,1.2479,0.67975,0.68852,0.69187,0.44615,0.97278,0.94867,1.0133,3.9208e-05,3.9208e-05,3.9208e-05
4,4.20438,1.468,1.7378,1.12015,0.65676,0.70492,0.67849,0.47555,0.88016,0.89261,0.97478,5.8218e-05,5.8218e-05,5.8218e-05
5,5.68581,1.30887,1.64224,1.08883,0.66992,0.69876,0.69506,0.51603,0.82289,0.85302,0.95841,7.6832e-05,7.6832e-05,7.6832e-05
6,7.18652,1.35483,1.37055,1.08929,0.66687,0.72198,0.69736,0.51421,0.8082,0.84573,0.95802,9.505e-05,9.505e-05,9.505e-05
7,8.31406,1.19999,1.19122,1.04065,0.58313,0.77049,0.67322,0.49877,0.80485,0.90205,0.96587,0.000112872,0.000112872,0.000112872
8,9.41558,0.92403,0.93469,0.93574,0.59784,0.7541,0.65448,0.46922,0.82366,0.91929,0.97581,0.000130298,0.000130298,0.000130298
9,10.5198,1.01731,0.82817,0.96551,0.5298,0.81278,0.61766,0.45626,0.8351,0.96215,0.99784,0.000147328,0.000147328,0.000147328
10,11.5768,1.07288,0.94075,1.01553,0.54197,0.80328,0.61927,0.45061,0.82219,0.97457,0.9909,0.000163962,0.000163962,0.000163962
11,12.6981,1.11032,0.84737,0.97327,0.53713,0.80328,0.63672,0.46772,0.81007,0.98552,0.97766,0.0001802,0.0001802,0.0001802
12,13.8504,0.91493,0.7883,0.92457,0.55488,0.81967,0.63235,0.45562,0.84822,1.0218,1.00607,0.000196042,0.000196042,0.000196042
13,14.9032,0.83321,0.6807,0.86622,0.59706,0.72877,0.6254,0.43839,0.89271,1.04351,1.03904,0.000211488,0.000211488,0.000211488
14,15.9891,0.89928,0.79529,0.91621,0.6326,0.70567,0.61927,0.4325,0.90794,1.04135,1.04602,0.000226538,0.000226538,0.000226538
15,17.1186,0.91295,0.81001,0.93705,0.57213,0.70492,0.61453,0.42012,0.91882,1.03713,1.05193,0.000241192,0.000241192,0.000241192
